ano;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
1985;849283;2319284;1546665;14330;19595;15051;23816;49170
1986;886308;2389021;1716500;12328;21957;17087;24845;34526
1987;889837;2517484;1892533;14059;24104;20127;29083;71337
1988;864307;2572335;1995347;14801;32160;22325;31838;72733
1989;881391;2546626;2067257;15468;29130;23308;33225;74552
1990;912659;2556206;2032948;14927;28254;23566;37645;82473
1991;878335;2564086;2147842;12480;40966;26281;44821;88828
1992;881087;2596814;2137622;10427;38417;27029;44115;94954
1993;860444;2763974;2408327;12353;40554;32352;52139;106074
1994;861664;2878750;2478358;13057;35841;32987;61123;111297
1995;768613;2810962;2557496;14827;40723;38610;62942;102404
1996;655315;2782809;2608013;14064;38426;40523;69805;101881
1997;642274;2718283;2608266;15670;39009;45234;74025;124775
1998;799146;2792119;2731640;15734;38256;48394;77657;126886
1999;707673;2792659;2850403;22371;42020;50095;77650;135007
2000;745306;2866719;2948685;20922;40516;53785;82008;138826
2001;721964;2806298;3347411;23137;44718;60510;83219;143398
2002;687694;2897619;3670133;23082;47884;65187;85432;149119
2003;631638;2967911;3907267;26963;54810;78799;81625;149746
2004;662947;3053930;4056181;23682;55692;78324;86146;152162
2005;685049;3063899;4402702;25310;62590;93885;96348;162785
2006;724023;3187962;4746470;29830;58835;99375;105098;174827
2007;835184;3313875;4985267;33879;77963;112675;107102;174251
2008;794440;3375397;5346169;29605;74489;118494;115403;180183
2009;825426;3460547;5566150;31275;85175;133006;113167;183325
2010;1062225;3486713;5739387;29437;85142;123813;122694;190926
2011;886849;3498449;5937381;35282;100228;133535;126557;199813
2012;866697;3508255;6093041;29476;91670;136161;135542;208567
2013;955505;3531936;6348690;29890;95375;142488;133500;211094
2014;995533;3549623;6331200;26673;87791;135373;140945;215592
2015;956209;3456836;6291429;33137;108309;144763;139268;215291
2016;997672;3405501;6228810;29649;92052;142875;144025;219009
2017;1010632;3355618;6367287;29819;96280;149386;141442;222011
2018;932218;3277622;6325907;28709;97056;149207;140269;224112
2019;767607;3112596;6345447;34639;109822;159829;136467;223649
2020;921705;2951130;6221913;26096;90913;153312;129303;219107
2021;694879;2990720;6514498;28262;98201;159214;134782;209074
